date,Less than 5 weeks,5-14 weeks,15-26 weeks,27 weeks and over,
1/1/05,"2,635","2,298","1,203","1,648",
2/1/05,"2,749","2,345","1,268","1,628",
3/1/05,"2,483","2,328","1,157","1,660",
4/1/05,"2,688","2,289","1,069","1,609",
5/1/05,"2,754","2,231","1,145","1,538",
6/1/05,"2,659","2,361","1,030","1,375",
7/1/05,"2,568","2,368","1,068","1,380",
8/1/05,"2,570","2,304","1,161","1,407",
9/1/05,"2,763","2,294","1,098","1,439",
10/1/05,"2,719","2,296","1,070","1,422",
11/1/05,"2,823","2,282","1,116","1,370",
12/1/05,"2,588","2,249","1,073","1,356",
1/1/06,"2,527","2,194","1,100","1,170",
2/1/06,"2,577","2,088","1,195","1,350",
3/1/06,"2,659","1,999","1,064","1,309",
4/1/06,"2,665","2,142","1,022","1,331",
5/1/06,"2,545","2,189",969,"1,333",
6/1/06,"2,705","2,076",982,"1,145",
7/1/06,"2,721","2,126",986,"1,304",
8/1/06,"2,603","2,246",987,"1,306",
9/1/06,"2,608","2,053",986,"1,245",
10/1/06,"2,616","2,103",984,"1,078",
11/1/06,"2,511","2,212","1,028","1,131",
12/1/06,"2,596","2,047",990,"1,093",
1/1/07,"2,561","2,267","1,015","1,141",
2/1/07,"2,574","2,168",962,"1,249",
3/1/07,"2,307","2,138","1,010","1,245",
4/1/07,"2,456","2,178","1,075","1,206",
5/1/07,"2,464","2,183","1,100","1,132",
6/1/07,"2,551","2,134","1,138","1,143",
7/1/07,"2,502","2,203","1,073","1,291",
8/1/07,"2,614","2,156","1,086","1,246",
9/1/07,"2,557","2,292","1,091","1,264",
10/1/07,"2,545","2,502","1,003","1,298",
11/1/07,"2,645","2,241",992,"1,374",
12/1/07,"2,718","2,376","1,177","1,324",
1/1/08,"2,554","2,406","1,152","1,388",
2/1/08,"2,653","2,370","1,116","1,329",
3/1/08,"2,823","2,537","1,168","1,323",
4/1/08,"2,493","2,574","1,314","1,372",
5/1/08,"3,278","2,476","1,219","1,561",
6/1/08,"2,753","3,016","1,337","1,576",
7/1/08,"2,854","2,833","1,450","1,664",
8/1/08,"3,256","2,758","1,554","1,866",
9/1/08,"2,848","3,035","1,599","2,027",
10/1/08,"3,170","3,055","1,710","2,280",
11/1/08,"3,335","3,260","1,704","2,219",
12/1/08,"3,255","3,498","1,936","2,610",
1/1/09,"3,524","3,662","2,065","2,699",
2/1/09,"3,450","3,936","2,456","2,999",
3/1/09,"3,465","4,122","2,625","3,260",
4/1/09,"3,338","4,138","2,634","3,752",
5/1/09,"3,246","4,458","3,049","3,973",
6/1/09,"3,114","4,052","3,488","4,349",
7/1/09,"3,137","3,505","2,923","4,917",
8/1/09,"2,940","3,927","2,791","5,037",
9/1/09,"2,841","3,775","2,908","5,494",
10/1/09,"3,223","3,552","3,006","5,643",
11/1/09,"2,816","3,457","2,847","5,908",
12/1/09,"2,879","3,457","2,712","6,122",
1/1/10,"2,921","3,390","2,574","6,319",
2/1/10,"2,807","3,390","2,793","6,129",
3/1/10,"2,769","3,294","2,542","6,545",
4/1/10,"2,725","3,086","2,330","6,800",
5/1/10,"2,773","3,127","2,260","6,638",
6/1/10,"2,683","3,159","2,284","6,623",
7/1/10,"2,806","2,972","2,208","6,506",
8/1/10,"2,671","3,534","2,162","6,259",
9/1/10,"2,819","3,308","2,291","6,163",
10/1/10,"2,655","3,345","2,387","6,227",
11/1/10,"2,912","3,321","2,370","6,326",
12/1/10,"2,693","3,169","2,120","6,429",
1/1/11,"2,686","3,033","2,218","6,175",
2/1/11,"2,469","3,118","2,284","5,892",
3/1/11,"2,535","2,980","2,061","6,105",
4/1/11,"2,787","2,987","2,090","5,925",
5/1/11,"2,668","2,903","2,052","6,153",
6/1/11,"2,933","2,987","1,871","6,271",
7/1/11,"2,632","2,931","1,982","6,195",
8/1/11,"2,650","2,989","2,199","6,048",
9/1/11,"2,754","2,881","2,012","6,304",
10/1/11,"2,668","3,250","1,964","5,838",
11/1/11,"2,556","2,913","2,009","5,698",
12/1/11,"2,678","2,873","1,959","5,586",
1/1/12,"2,474","2,908","1,957","5,476",
2/1/12,"2,610","2,848","2,051","5,242",
3/1/12,"2,708","2,788","1,940","5,236",
4/1/12,"2,624","2,878","1,940","5,132",
5/1/12,"2,550","3,006","1,690","5,401",
6/1/12,"2,747","2,806","1,817","5,409",
7/1/12,"2,662","2,984","1,773","5,210",
8/1/12,"2,784","2,811","1,846","5,042",
9/1/12,"2,538","2,819","1,863","4,911",
