Rate,date
64.8,1/1/10
64.9,2/1/10
64.9,3/1/10
65.2,4/1/10
64.9,5/1/10
64.6,6/1/10
64.6,7/1/10
64.7,8/1/10
64.6,9/1/10
64.4,10/1/10
64.6,11/1/10
64.3,12/1/10
64.2,1/1/11
64.1,2/1/11
64.2,3/1/11
64.2,4/1/11
64.1,5/1/11
64.0,6/1/11
64.0,7/1/11
64.1,8/1/11
64.2,9/1/11
64.1,10/1/11
64.1,11/1/11
64.0,12/1/11
63.7,1/1/12
63.8,2/1/12
63.8,3/1/12
63.7,4/1/12
63.7,5/1/12
63.8,6/1/12
63.7,7/1/12
63.5,8/1/12
63.6,9/1/12
63.8,10/1/12
63.6,11/1/12
63.7,12/1/12
63.7,1/1/13
63.4,2/1/13
63.3,3/1/13
63.4,4/1/13
63.4,5/1/13
63.4,6/1/13
63.3,7/1/13
63.3,8/1/13
63.2,9/1/13
62.8,10/1/13
63.0,11/1/13
62.9,12/1/13
62.9,1/1/14
62.9,2/1/14
63.1,3/1/14
62.8,4/1/14
62.9,5/1/14
62.8,6/1/14
62.9,7/1/14
62.9,8/1/14
62.8,9/1/14
62.9,10/1/14
62.9,11/1/14
62.8,12/1/14
62.9,1/1/15
62.7,2/1/15
62.6,3/1/15
62.8,4/1/15
62.9,5/1/15
62.7,6/1/15
62.6,7/1/15
62.6,8/1/15
62.4,9/1/15
62.5,10/1/15
62.5,11/1/15
62.7,12/1/15
62.7,1/1/16
62.8,2/1/16
62.9,3/1/16
62.8,4/1/16
62.7,5/1/16
62.7,6/1/16
62.7,7/1/16
62.9,8/1/16
62.9,9/1/16
62.8,10/1/16
62.7,11/1/16
62.7,12/1/16
62.8,1/1/17
62.8,2/1/17
62.9,3/1/17
63.0,4/1/17
62.8,5/1/17
62.8,6/1/17
62.8,7/1/17
62.9,8/1/17
63.1,9/1/17
62.7,10/1/17
62.7,11/1/17
62.7,12/1/17
62.7,1/1/18
63.0,2/1/18
62.9,3/1/18
62.9,4/1/18
62.9,5/1/18
63.0,6/1/18
62.9,7/1/18
62.7,8/1/18
62.8,9/1/18
62.9,10/1/18
62.9,11/1/18
63.0,12/1/18
63.2,1/1/19
63.1,2/1/19
63.0,3/1/19
62.8,4/1/19
62.9,5/1/19
63.0,6/1/19
63.0,7/1/19
63.2,8/1/19
63.2,9/1/19
63.3,10/1/19
63.2,11/1/19
63.2,12/1/19
63.4,1/1/20
63.4,2/1/20
62.7,3/1/20
