Date,Rate,Month
1/1/2010,64.8,January
2/1/2010,64.9,February
3/1/2010,64.9,March
4/1/2010,65.2,April
5/1/2010,64.9,May
6/1/2010,64.6,June
7/1/2010,64.6,July
8/1/2010,64.7,August
9/1/2010,64.6,September
10/1/2010,64.4,October
11/1/2010,64.6,November
12/1/2010,64.3,December
1/1/2011,64.2,January
2/1/2011,64.1,February
3/1/2011,64.2,March
4/1/2011,64.2,April
5/1/2011,64.1,May
6/1/2011,64,June
7/1/2011,64,July
8/1/2011,64.1,August
9/1/2011,64.2,September
10/1/2011,64.1,October
11/1/2011,64.1,November
12/1/2011,64,December
1/1/2012,63.7,January
2/1/2012,63.8,February
3/1/2012,63.8,March
4/1/2012,63.7,April
5/1/2012,63.7,May
6/1/2012,63.8,June
7/1/2012,63.7,July
8/1/2012,63.5,August
9/1/2012,63.6,September
10/1/2012,63.8,October
11/1/2012,63.6,November
12/1/2012,63.7,December
1/1/2013,63.7,January
2/1/2013,63.4,February
3/1/2013,63.3,March
4/1/2013,63.4,April
5/1/2013,63.4,May
6/1/2013,63.4,June
7/1/2013,63.3,July
8/1/2013,63.3,August
9/1/2013,63.2,September
10/1/2013,62.8,October
11/1/2013,63,November
12/1/2013,62.9,December
1/1/2014,62.9,January
2/1/2014,62.9,February
3/1/2014,63.1,March
4/1/2014,62.8,April
5/1/2014,62.9,May
6/1/2014,62.8,June
7/1/2014,62.9,July
8/1/2014,62.9,August
9/1/2014,62.8,September
10/1/2014,62.9,October
11/1/2014,62.9,November
12/1/2014,62.8,December
1/1/2015,62.9,January
2/1/2015,62.7,February
3/1/2015,62.6,March
4/1/2015,62.8,April
5/1/2015,62.9,May
6/1/2015,62.7,June
7/1/2015,62.6,July
8/1/2015,62.6,August
9/1/2015,62.4,September
10/1/2015,62.5,October
11/1/2015,62.5,November
12/1/2015,62.7,December
1/1/2016,62.7,January
2/1/2016,62.8,February
3/1/2016,62.9,March
4/1/2016,62.8,April
5/1/2016,62.7,May
6/1/2016,62.7,June
7/1/2016,62.7,July
8/1/2016,62.9,August
9/1/2016,62.9,September
10/1/2016,62.8,October
11/1/2016,62.7,November
12/1/2016,62.7,December
1/1/2017,62.8,January
2/1/2017,62.8,February
3/1/2017,62.9,March
4/1/2017,63,April
5/1/2017,62.8,May
6/1/2017,62.8,June
7/1/2017,62.8,July
8/1/2017,62.9,August
9/1/2017,63.1,September
10/1/2017,62.7,October
11/1/2017,62.7,November
12/1/2017,62.7,December
1/1/2018,62.7,January
2/1/2018,63,February
3/1/2018,62.9,March
4/1/2018,62.9,April
5/1/2018,62.9,May
6/1/2018,63,June
7/1/2018,62.9,July
8/1/2018,62.7,August
9/1/2018,62.8,September
10/1/2018,62.9,October
11/1/2018,62.9,November
12/1/2018,63,December
1/1/2019,63.2,January
2/1/2019,63.1,February
3/1/2019,63,March
4/1/2019,62.8,April
5/1/2019,62.9,May
6/1/2019,63,June
7/1/2019,63,July
8/1/2019,63.2,August
9/1/2019,63.2,September
10/1/2019,63.3,October
11/1/2019,63.2,November
12/1/2019,63.2,December
1/1/2020,63.4,January
2/1/2020,63.4,February
3/1/2020,62.7,March
