Industry and Class of Worker,Number,Rate
"Mining, quarrying, and oil and gas extraction",52,6.2
Construction,658,6.9
Manufacturing,636,4.2
Wholesale and retail trade,955,4.9
Transportation and utilities,380,5
Information,47,1.8
Financial activities,230,2.2
Professional and business services,838,4.8
Education and health services,778,3.2
Leisure and hospitality,"1,131",8.1
Other services,258,3.9
Agriculture and related private wage and salary workers,139,8.3
Government workers,490,2.2
"Self-employed workers, unincorporated",327,3.4
